employee_id,first_name,last_name,date_of_birth,gender,job_title,department,salary,hire_date,email
1,Curran,Strangward,7/28/1966,Male,VP Product Management,IT,58962.18,9/15/2010,cstrangward0@disqus.com
2,Consalve,Mingauld,2/18/1971,Male,Civil Engineer,Marketing,90387.19,6/5/2014,cmingauld1@noaa.gov
3,Gonzales,Cowser,1/10/1982,Polygender,Research Associate,HR,74414.45,12/5/2014,gcowser2@chron.com
4,Babs,Jentet,12/27/1968,Female,Operator,Marketing,73850.78,2/10/2019,bjentet3@cam.ac.uk
5,Lorrie,Lune,3/16/1980,Male,Chemical Engineer,Finance,65388.68,7/30/2015,llune4@etsy.com
6,Molli,Acres,5/6/1959,Female,Financial Analyst,Finance,70885.79,11/1/2010,macres5@rakuten.co.jp
7,Pippy,Roggeman,5/15/1963,Female,Environmental Tech,Marketing,97182.01,10/27/2011,proggeman6@independent.co.uk
8,Paxon,Hodges,2/15/1981,Male,Senior Sales Associate,Finance,72531.18,9/9/2013,phodges7@acquirethisname.com
9,Mandy,Starkings,9/21/1994,Bigender,Human Resources Manager,IT,86621.67,7/13/2015,mstarkings8@digg.com
10,Samaria,Dury,9/26/1981,Female,Business Systems Development Analyst,Finance,45451.96,1/23/2020,sdury9@epa.gov
11,Oates,Whitchurch,12/12/1981,Polygender,Geological Engineer,IT,92885.02,8/7/2018,owhitchurcha@wix.com
12,Russell,Cumber,7/6/1995,Male,Automation Specialist III,IT,75892.35,2/15/2019,rcumberb@discovery.com
13,Magdalena,Standish-Brooks,2/27/1972,Female,Programmer II,HR,56845.78,1/4/2010,mstandishbrooksc@nationalgeographic.com
14,Pippo,Edwicke,3/18/1986,Male,Web Developer IV,HR,81787.84,9/19/2016,pedwicked@shop-pro.jp
15,Harlie,McGinnis,9/12/1989,Female,Operator,IT,99742.55,11/8/2011,hmcginnise@devhub.com
16,Vergil,Walsh,8/21/1985,Male,Analog Circuit Design manager,IT,41191.22,3/8/2012,vwalshf@merriam-webster.com
17,Hewitt,Enrico,7/1/1965,Male,Health Coach II,Marketing,46334.12,11/2/2015,henricog@vkontakte.ru
18,Papageno,Wimbush,11/3/1971,Agender,Programmer III,Marketing,77623.77,11/22/2015,pwimbushh@prlog.org
19,Esmaria,Lineen,1/7/1950,Female,Senior Quality Engineer,HR,91894.6,8/1/2013,elineeni@comcast.net
20,Jamill,Pesticcio,2/28/1988,Male,Engineer IV,HR,80512.34,1/22/2018,jpesticcioj@ca.gov
21,Adolphe,Cellone,8/5/1962,Male,Mechanical Systems Engineer,HR,39063.78,10/22/2015,acellonek@godaddy.com
22,Rae,Gillbard,8/23/1999,Female,Teacher,IT,97501.78,12/10/2011,rgillbardl@slashdot.org
23,Massimo,Tuminini,8/29/1985,Male,VP Quality Control,IT,39535.32,7/20/2018,mtumininim@shutterfly.com
24,Valentine,Ellery,7/15/1999,Female,Computer Systems Analyst IV,IT,63553.23,7/13/2019,velleryn@hc360.com
25,Debor,Pesek,5/4/1984,Female,Analog Circuit Design manager,Finance,54668.6,4/27/2020,dpeseko@google.ru
26,Rufus,Muzzini,7/19/1954,Male,Quality Control Specialist,HR,37186.23,9/4/2019,rmuzzinip@cam.ac.uk
27,Murray,Josef,7/18/1987,Agender,Account Coordinator,Finance,48091.49,5/2/2015,mjosefq@geocities.com
28,Madalena,Folca,6/10/1979,Female,Operator,Finance,60964.83,5/21/2016,mfolcar@baidu.com
29,Gusella,Burrow,4/7/1976,Female,Help Desk Technician,HR,74981.25,9/25/2020,gburrows@cafepress.com
